event_id,layer,x,y,z,t
0.0,0.0,-3.3886,-19.7165,94.1264,15.5386
0.0,0.0,-3.72746,-21.68815,94.1264,17.092460000000003
0.0,1.0,-8.936,-39.0059,188.3348,16.2386
0.0,1.0,-9.829600000000001,-42.90649,188.3348,17.862460000000002
0.0,2.0,-16.6781,-57.6438,282.4891,16.9095
0.0,2.0,-18.345910000000003,-63.40818,282.4891,18.600450000000002
0.0,3.0,-26.5138,-75.4924,376.6692,17.5845
0.0,3.0,-29.165180000000003,-83.04164000000002,376.6692,19.34295
0.0,4.0,-38.3707,-92.3382,470.8224,18.4459
0.0,4.0,-42.207770000000004,-101.57202000000001,470.8224,20.290490000000002
1.0,0.0,-19.9502,1.4049,-14.6367,8.9036
1.0,0.0,-21.94522,1.5453900000000003,-14.6367,9.793960000000002
1.0,1.0,-39.4716,6.5048,-29.2747,9.2954
1.0,1.0,-43.418760000000006,7.155280000000001,-29.2747,10.224940000000002
1.0,2.0,-58.0357,15.2315,-43.9182,10.0452
1.0,2.0,-63.839270000000006,16.75465,-43.9182,11.04972
1.0,3.0,-75.1669,27.4062,-58.5617,10.719
1.0,3.0,-82.68359000000001,30.14682,-58.5617,11.7909
1.0,4.0,-90.3763,42.7762,-73.2029,11.4631
1.0,4.0,-99.41393000000001,47.05382000000001,-73.2029,12.609410000000002
2.0,0.0,13.2476,-15.0617,-46.0949,4.4824
2.0,0.0,14.572360000000002,-16.567870000000003,-46.0949,4.93064
2.0,1.0,25.7497,-30.6072,-92.2029,5.0168
2.0,1.0,28.324670000000005,-33.66792,-92.2029,5.51848
2.0,2.0,37.473,-46.8592,-138.3419,5.9569
2.0,2.0,41.2203,-51.545120000000004,-138.3419,6.55259
2.0,3.0,48.4679,-63.5849,-184.3813,6.4696
2.0,3.0,53.314690000000006,-69.94339000000001,-184.3813,7.116560000000001
2.0,4.0,58.7415,-80.9348,-230.5076,7.3023
2.0,4.0,64.61565,-89.02828000000001,-230.5076,8.032530000000001
3.0,0.0,10.62,-16.9673,103.1063,12.608
3.0,0.0,11.682,-18.664030000000004,103.1063,13.868800000000002
3.0,1.0,29.0483,-27.469,206.1943,13.2119
3.0,1.0,31.953130000000005,-30.215900000000005,206.1943,14.533090000000001
3.0,2.0,52.5718,-28.9911,309.2941,13.8215
3.0,2.0,57.82898000000001,-31.890210000000003,309.2941,15.203650000000001
3.0,3.0,77.5246,-19.7749,412.4209,14.7294
3.0,3.0,85.27706000000002,-21.752390000000002,412.4209,16.202340000000003
3.0,4.0,99.9749,0.4241,515.5203,15.2467
3.0,4.0,109.97239000000002,0.46651000000000004,515.5203,16.77137
4.0,0.0,19.8019,-2.6442,-38.5437,3.2824
4.0,0.0,21.78209,-2.9086200000000004,-38.5437,3.61064
4.0,1.0,39.2756,-7.5482,-77.115,3.8748
4.0,1.0,43.20316,-8.30302,-77.115,4.2622800000000005
4.0,2.0,58.1673,-14.7364,-115.6234,4.6264
4.0,2.0,63.984030000000004,-16.21004,-115.6234,5.089040000000001
4.0,3.0,76.2733,-24.0726,-154.2182,5.1761
4.0,3.0,83.90063,-26.479860000000002,-154.2182,5.69371
4.0,4.0,93.4914,-35.485,-192.7032,5.887
4.0,4.0,102.84054,-39.033500000000004,-192.7032,6.4757
5.0,0.0,-1.4751,-19.9722,-18.5708,15.7429
5.0,0.0,-1.62261,-21.969420000000003,-18.5708,17.317190000000004
5.0,1.0,-1.5091,-39.9677,-37.1418,16.3459
5.0,1.0,-1.6600100000000002,-43.964470000000006,-37.1418,17.980490000000003
5.0,2.0,-0.1233,-59.9931,-55.6842,17.2038
5.0,2.0,-0.13563000000000003,-65.99241,-55.6842,18.924180000000003
5.0,3.0,2.7075,-79.9578,-74.2554,17.8001
5.0,3.0,2.97825,-87.95358000000002,-74.2554,19.58011
5.0,4.0,6.9324,-99.7784,-92.8285,18.5088
5.0,4.0,7.625640000000001,-109.75624000000002,-92.8285,20.35968
6.0,0.0,5.5314,19.1999,7.2413,22.1061
6.0,0.0,6.0845400000000005,21.11989,7.2413,24.316710000000004
6.0,1.0,6.3684,39.5355,14.499,22.6336
6.0,1.0,7.005240000000001,43.48905,14.499,24.896960000000004
6.0,2.0,2.1113,59.9774,21.7215,23.5194
6.0,2.0,2.32243,65.97514000000001,21.7215,25.871340000000004
6.0,3.0,-7.0217,79.7322,28.978,24.076
6.0,3.0,-7.723870000000001,87.70542000000002,28.978,26.483600000000003
6.0,4.0,-21.0449,97.7879,36.1822,24.6366
6.0,4.0,-23.14939,107.56669000000001,36.1822,27.100260000000002
7.0,0.0,17.5228,9.6491,4.1746,21.4591
7.0,0.0,19.275080000000003,10.614010000000002,4.1746,23.60501
7.0,1.0,35.7116,17.9528,8.3655,21.9829
7.0,1.0,39.28276,19.74808,8.3655,24.181190000000004
7.0,2.0,54.5751,24.8973,12.5018,22.8515
7.0,2.0,60.032610000000005,27.387030000000003,12.5018,25.136650000000003
7.0,3.0,73.9747,30.4481,16.669,23.5468
7.0,3.0,81.37217000000001,33.49291,16.669,25.901480000000003
7.0,4.0,93.8568,34.5304,20.8476,24.1624
7.0,4.0,103.24248000000001,37.98344,20.8476,26.578640000000004
8.0,0.0,-6.8155,18.8454,-50.8258,21.4461
8.0,0.0,-7.497050000000001,20.729940000000003,-50.8258,23.590710000000005
8.0,1.0,-12.3437,38.0304,-101.6323,22.0235
8.0,1.0,-13.578070000000002,41.83344,-101.6323,24.22585
8.0,2.0,-16.6866,57.6489,-152.4292,22.9338
8.0,2.0,-18.35526,63.413790000000006,-152.4292,25.227180000000004
8.0,3.0,-19.7821,77.5413,-203.2484,23.6456
8.0,3.0,-21.76031,85.29543000000001,-203.2484,26.010160000000003
8.0,4.0,-21.5585,97.639,-254.021,24.2173
8.0,4.0,-23.71435,107.4029,-254.021,26.639030000000005
9.0,0.0,18.8557,6.6757,-93.0012,4.1486
9.0,0.0,20.74127,7.34327,-93.0012,4.56346
9.0,1.0,37.3293,14.4924,-186.0722,4.9425
9.0,1.0,41.06223000000001,15.941640000000001,-186.0722,5.43675
9.0,2.0,55.2394,23.3708,-279.0949,5.4493
9.0,2.0,60.76334000000001,25.70788,-279.0949,5.994230000000001
9.0,3.0,72.7032,33.4323,-372.1331,6.2677
9.0,3.0,79.97352000000001,36.77553,-372.1331,6.89447
9.0,4.0,89.5332,44.5524,-465.1732,6.8427
9.0,4.0,98.48652,49.00764,-465.1732,7.52697
10.0,0.0,19.7561,-3.1843,46.994,5.8554
10.0,0.0,21.731710000000003,-3.50273,46.994,6.440940000000001
10.0,1.0,39.281,-7.4734,93.9031,6.5047
10.0,1.0,43.2091,-8.220740000000001,93.9031,7.15517
10.0,2.0,58.5826,-12.8829,140.8591,7.1505
10.0,2.0,64.44086,-14.171190000000001,140.8591,7.865550000000001
10.0,3.0,77.6111,-19.351,187.7928,7.7141
10.0,3.0,85.37221,-21.2861,187.7928,8.485510000000001
10.0,4.0,96.3267,-26.8931,234.7379,8.3137
10.0,4.0,105.95937,-29.582410000000003,234.7379,9.145070000000002
11.0,0.0,-12.7349,15.4458,10.0042,13.7286
11.0,0.0,-14.00839,16.990380000000002,10.0042,15.101460000000001
11.0,1.0,-24.1121,31.8972,20.0371,14.2949
11.0,1.0,-26.523310000000006,35.086920000000006,20.0371,15.724390000000001
11.0,2.0,-34.1428,49.3174,30.0195,15.1854
11.0,2.0,-37.557080000000006,54.249140000000004,30.0195,16.70394
11.0,3.0,-42.8619,67.5375,40.1105,15.7046
11.0,3.0,-47.14809,74.29125,40.1105,17.27506
11.0,4.0,-50.0457,86.5827,50.0804,16.2795
11.0,4.0,-55.05027,95.24097,50.0804,17.90745
12.0,0.0,6.8751,-18.8102,-48.4258,7.1519
12.0,0.0,7.56261,-20.69122,-48.4258,7.867090000000001
12.0,1.0,12.1468,-38.1103,-96.8894,7.7215
12.0,1.0,13.361480000000002,-41.921330000000005,-96.8894,8.49365
12.0,2.0,15.7471,-57.9124,-145.3189,8.5645
12.0,2.0,17.32181,-63.70364,-145.3189,9.420950000000001
12.0,3.0,17.6079,-78.0331,-193.775,9.2159
12.0,3.0,19.36869,-85.83641000000001,-193.775,10.13749
12.0,4.0,17.7976,-98.3947,-242.2094,9.9136
12.0,4.0,19.577360000000002,-108.23417,-242.2094,10.90496
